[2025-04-02 22:17:30] User: dj, Action: KEY, Details: Published signed public key for dj
[2025-04-02 22:18:22] User: dj, Action: UPLOAD, Details: Uploaded file: Figure_1.png
[2025-04-02 22:18:32] User: dj, Action: SHARE, Details: Shared file: Figure_1.png with lola5
[2025-04-02 22:19:22] User: lola5, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-02 22:23:33] User: masa3, Action: KEY, Details: Generated and signed public key for masa3
[2025-04-02 22:23:50] User: masa3, Action: KEY, Details: Published signed public key for masa3
[2025-04-02 22:24:43] User: masa3, Action: UPLOAD, Details: Uploaded file: racuni.txt
[2025-04-02 22:24:54] User: masa3, Action: SHARE, Details: Shared file: racuni.txt with dj
[2025-04-02 22:25:59] User: dj, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-02 22:26:59] User: lola5, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-02 22:32:16] User: dj, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-02 22:39:04] User: lola5, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-02 22:49:31] User: lola5, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-02 22:50:35] User: lola5, Action: UPLOAD, Details: Uploaded file: PJ2-25-09-2024.pdf
[2025-04-02 22:53:14] User: dj, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-02 22:53:31] User: dj, Action: UPLOAD, Details: Uploaded file: Zadaci.pdf
[2025-04-02 22:53:45] User: dj, Action: SHARE, Details: Shared file: Zadaci.pdf with masa3
[2025-04-02 22:54:24] User: masa3, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-02 22:54:55] User: masa3, Action: SHARE, Details: Shared file: racuni.txt with lola5
[2025-04-02 22:55:34] User: masa3, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-02 22:55:45] User: masa3, Action: DOWNLOAD, Details: Downloaded file: racuni.txt
[2025-04-03 10:57:54] User: lola5, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-03 11:05:57] User: lola5, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-03 11:06:13] User: lola5, Action: SHARE, Details: Shared file: PJ2-25-09-2024.pdf with masa3
[2025-04-03 11:06:55] User: masa3, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-03 11:07:17] User: masa3, Action: DOWNLOAD, Details: Downloaded file: PJ2-25-09-2024.pdf_lola5_to_masa3.enc
[2025-04-03 11:07:50] User: masa3, Action: SHARE, Details: Shared file: racuni.txt with lola5
[2025-04-03 11:08:35] User: lola5, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-03 11:08:47] User: lola5, Action: DOWNLOAD, Details: Downloaded file: racuni.txt_masa3_to_lola5.enc
[2025-04-03 21:54:04] User: testuser, Action: KEY, Details: Generated and signed public key for testuser
[2025-04-03 21:54:56] User: lola5, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-03 21:55:31] User: lola5, Action: UPLOAD, Details: Uploaded file: Zadaci.pdf
[2025-04-03 21:55:40] User: lola5, Action: SHARE, Details: Shared file: Zadaci.pdf with masa3
[2025-04-03 21:56:12] User: masa3, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-03 21:56:29] User: masa3, Action: DOWNLOAD, Details: Downloaded file: Zadaci.pdf_lola5_to_masa3.enc
[2025-04-15 10:14:56] User: milica, Action: KEY, Details: Generated and signed public key for milica
[2025-04-15 10:15:17] User: milica, Action: UPLOAD, Details: Uploaded file: 2025_02_KRZ.pdf
[2025-04-15 10:15:23] User: milica, Action: KEY, Details: Published signed public key for milica
[2025-04-15 10:15:48] User: milica, Action: SHARE, Details: Shared file: 2025_02_KRZ.pdf with dj
[2025-04-15 10:16:57] User: dj, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-15 10:18:11] User: masa3, Action: LOGIN_ATTEMPT, Details: FAILED: Invalid password
